22.12.2025 22:00:55 | ZAFER: Timsah
22.12.2025 22:01:11 | ZAFER: Timsah
22.12.2025 22:02:40 | ZAFER: Ayı
22.12.2025 22:14:30 | ZAFER: mm (+50 BPL)
23.12.2025 22:05:43 | ZAFER: 11111111 (+50 BPL)
23.12.2025 22:06:16 | ZAFER: 11111111 (+50 BPL)
23.12.2025 22:07:19 | ZAFER: 11111111 (+50 BPL)
23.12.2025 22:16:40 | ZAFER: 11111111 (+50 BPL)
23.12.2025 22:17:08 | ZAFER: 11111111 (+50 BPL)
23.12.2025 22:26:30 | ZAFER: 2 (+50 BPL)
23.12.2025 22:26:41 | ZAFER: 2 (+50 BPL)
23.12.2025 22:27:42 | ZAFER: 11111111 (+50 BPL)
23.12.2025 22:35:04 | ZAFER: 11111111 (+50 BPL)
23.12.2025 22:35:19 | ZAFER: 2 (+50 BPL)
23.12.2025 22:35:40 | ZAFER: 11111111 (+50 BPL)
23.12.2025 22:35:56 | ZAFER: 11111111 (+50 BPL)
23.12.2025 22:46:38 | ZAFER: 11111 (+50 BPL)
23.12.2025 22:46:56 | ZAFER: 11111 (+50 BPL)
24.12.2025 10:24:44 | Savaş Bitti: 6 kazandı.
24.12.2025 10:33:08 | Savaş Bitti: 7 kazandı.
24.12.2025 17:13:14 | ZAFER: alihan +50 BPL
24.12.2025 17:30:34 | ZAFER: alihan +50 BPL
24.12.2025 20:50:52 | ZAFER: 2 +50 BPL
24.12.2025 20:52:54 | ZAFER: 1 +50 BPL
24.12.2025 23:02:36 | ZAFER: 2 +50 BPL
24.12.2025 23:38:04 | ZAFER: 3 +50 BPL
25.12.2025 20:51:19 | ZAFER: 1 +50 BPL
25.12.2025 21:13:02 | ZAFER: 111 +50 BPL
25.12.2025 21:13:48 | ZAFER: 111 +50 BPL
25.12.2025 22:48:15 | ZAFER: 1 +50 BPL
25.12.2025 22:49:00 | ZAFER: 1 +50 BPL
25.12.2025 22:50:10 | ZAFER: 2 +50 BPL
25.12.2025 23:12:04 | ZAFER: 2 +50 BPL
